id,vendor,series,name,slug,description,specs,warranty,features,source_url,source_updated_at,active,created_at,updated_at,category,sku,coverage_sqft_per_box
36,Harbinger,Essentials,Perissa,harbinger-essentials-perissa,Heavy commercial glue down,[object Object],,[object Object],https://www.harbingerfloors.com/product-page/perissa,Sun Jan 18 2026 22:13:00 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 20:47:17 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:13:00 GMT-0800 (Pacific Standard Time),Essentials,HES 24066T,32.00
37,Harbinger,Contract,Coventry Spice,harbinger-contract-coventry-spice,Glue Down,[object Object],,,https://www.harbingerfloors.com/product-page/coventry-spice,Sun Jan 18 2026 22:12:53 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 21:21:13 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:53 GMT-0800 (Pacific Standard Time),Contract,HVP 22044T,48.00
38,Harbinger,Contract,Savannah Oak,harbinger-contract-savannah-oak,Glue Down,[object Object],,,https://www.harbingerfloors.com/product-page/savannahoak,Sun Jan 18 2026 22:12:53 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 21:21:13 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:53 GMT-0800 (Pacific Standard Time),Contract,HVP 22055T,48.00
39,Harbinger,Contract,Bonsai Maple,harbinger-contract-bonsai-maple,Glue Down,[object Object],,,https://www.harbingerfloors.com/product-page/bonsai-maple,Sun Jan 18 2026 22:12:54 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 21:21:13 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:54 GMT-0800 (Pacific Standard Time),Contract,HVP 22077T,48.00
40,Harbinger,Contract,Tumbleweed,harbinger-contract-tumbleweed,Glue Down,[object Object],,,https://www.harbingerfloors.com/product-page/tumbleweed,Sun Jan 18 2026 22:12:54 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 21:21:13 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:54 GMT-0800 (Pacific Standard Time),Contract,HVP 22088T,48.00
41,Harbinger,Contract,Sienna,harbinger-contract-sienna,Glue Down,[object Object],,,https://www.harbingerfloors.com/product-page/sienna,Sun Jan 18 2026 22:12:54 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 21:21:14 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:54 GMT-0800 (Pacific Standard Time),Contract,HVP 22099T,48.00
42,Harbinger,Contract,Melbourne,harbinger-contract-melbourne,Glue Down,[object Object],,,https://www.harbingerfloors.com/product-page/melbourne,Sun Jan 18 2026 22:12:54 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 21:21:14 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:54 GMT-0800 (Pacific Standard Time),Contract,HVP 33011T,48.00
43,Harbinger,Contract,Canberra,harbinger-contract-canberra,Glue Down,[object Object],,,https://www.harbingerfloors.com/product-page/canberra,Sun Jan 18 2026 22:12:55 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 21:21:14 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:55 GMT-0800 (Pacific Standard Time),Contract,HVP 33022T,48.00
44,Harbinger,Contract,Winton,harbinger-contract-winton,Glue Down,[object Object],,,https://www.harbingerfloors.com/product-page/winton,Sun Jan 18 2026 22:12:55 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 21:21:14 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:55 GMT-0800 (Pacific Standard Time),Contract,HVP 33044T,48.00
45,Harbinger,Contract,Perth,harbinger-contract-perth,Glue Down,[object Object],,,https://www.harbingerfloors.com/product-page/perth,Sun Jan 18 2026 22:12:55 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 21:21:14 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:55 GMT-0800 (Pacific Standard Time),Contract,HVP 33033T,48.00
