id,vendor,series,name,sku,slug,active,source_url,created_at,updated_at
60,Harbinger,Signature Acoustic Click,Poole,SAC 55117R,harbinger-signature-acoustic-click-poole,true,https://www.harbingerfloors.com/product-page/poole,Sun Jan 18 2026 21:21:16 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:58 GMT-0800 (Pacific Standard Time)
61,Harbinger,Signature Acoustic Click,Derby,SAC 55118R,harbinger-signature-acoustic-click-derby,true,https://www.harbingerfloors.com/product-page/derby,Sun Jan 18 2026 21:21:17 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:59 GMT-0800 (Pacific Standard Time)
62,Harbinger,Signature Acoustic Click,York,SAC 55122R,harbinger-signature-acoustic-click-york,true,https://www.harbingerfloors.com/product-page/york,Sun Jan 18 2026 21:21:17 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:59 GMT-0800 (Pacific Standard Time)
63,Harbinger,Signature Acoustic Click,Chester,SAC 55119R,harbinger-signature-acoustic-click-chester,true,https://www.harbingerfloors.com/product-page/chester,Sun Jan 18 2026 21:21:17 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:59 GMT-0800 (Pacific Standard Time)
64,Harbinger,Signature Acoustic Click,Durham,SAC 55120R,harbinger-signature-acoustic-click-durham,true,https://www.harbingerfloors.com/product-page/durham,Sun Jan 18 2026 21:21:17 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:59 GMT-0800 (Pacific Standard Time)
65,Harbinger,Signature Acoustic Click,Plymouth,SAC 55114R,harbinger-signature-acoustic-click-plymouth,true,https://www.harbingerfloors.com/product-page/plymouth,Sun Jan 18 2026 21:21:17 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:13:00 GMT-0800 (Pacific Standard Time)
66,Harbinger,Signature Acoustic Click,Sussex,WPC 33088R,harbinger-signature-acoustic-click-sussex,true,https://www.harbingerfloors.com/product-page/sussex,Sun Jan 18 2026 21:21:18 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:13:00 GMT-0800 (Pacific Standard Time)
67,Harbinger,Signature Acoustic Click,Cardiff,SAC 55110R,harbinger-signature-acoustic-click-cardiff,true,https://www.harbingerfloors.com/product-page/cardiff,Sun Jan 18 2026 21:21:18 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:13:00 GMT-0800 (Pacific Standard Time)
70,Harbinger,The Quiet Zone,Cumulus,TQZ 3309R,harbinger-the-quiet-zone-cumulus,true,https://www.harbingerfloors.com/product-page/cumulus,Sun Jan 18 2026 21:21:18 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:13:01 GMT-0800 (Pacific Standard Time)
71,Harbinger,Signature Acoustic Click,Cornwall,SAC 55106R,harbinger-signature-acoustic-click-cornwall,true,https://www.harbingerfloors.com/product-page/cornwall-1,Sun Jan 18 2026 21:21:19 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:13:01 GMT-0800 (Pacific Standard Time)
